所属区域,小区名称,房屋价格,房屋面积,户型
整租·玲珑苑 2室1厅 南/北,海淀-定慧寺-玲珑苑,12500 元/月,81.00㎡,/
整租·东货场路40号院 2室1厅 南/北,丰台-北大地-东货场路40号院,5200 元/月,62.00㎡,/
整租·仁悦居7号院 2室1厅 南/北,顺义-顺义其它-仁悦居7号院,3600 元/月,89.00㎡,/
整租·华严北里小区 1室1厅 东南,精选,6490 元/月,朝阳-健翔桥-华严北里小区,/
整租·古城路小区 2室1厅 东南,精选,4790 元/月,石景山-古城-古城路小区,/
整租·景泰西里西区 1室1厅 南,东城-永定门-景泰西里西区,6200 元/月,60.00㎡,/
整租·远洋沁山水 3室1厅 南/北,石景山-鲁谷-远洋沁山水,22000 元/月,140.00㎡,/
整租·K2十里春风 2室1厅 南/北,通州-通州其它-K2十里春风,2000 元/月,77.08㎡,/
整租·丽都东方国际公寓 1室1厅 东/北,朝阳-酒仙桥-丽都东方国际公寓,8600 元/月,71.00㎡,/
整租·华樾北京一期 3室1厅 南/北,朝阳-望京-华樾北京一期,8600 元/月,89.00㎡,/
整租·龙湖香醍漫步四区南区 2室2厅 南/北,顺义-马坡-龙湖香醍漫步四区南区,4500 元/月,105.03㎡,/
整租·枣园小区 2室1厅 南,精选,4760 元/月,大兴-枣园-枣园小区,/
整租·交大静园 2室1厅 南,精选,8360 元/月,海淀-西直门-交大静园,/
整租·财智公馆 1室1厅 东,精选,6590 元/月,海淀-紫竹桥-财智公馆,/
整租·贵园北里戊区 1室1厅 东,精选,5990 元/月,亦庄开发区-亦庄-贵园北里戊区,/
整租·中东路58号院 3室1厅 南,精选,5880 元/月,昌平-立水桥-中东路58号院,/
整租·富顿 1室0厅 东/南,朝阳-劲松-富顿,7800 元/月,68.57㎡,/
整租·怡秀园小区 3室1厅 西北,海淀-万柳-怡秀园小区,13000 元/月,100.44㎡,/
整租·星河湾朗园 5室2厅 跃层 西南/北,朝阳-朝青-星河湾朗园,150000 元/月,745.00㎡,/
整租·复兴门北大街 2室1厅 西南,西城-月坛-复兴门北大街,9500 元/月,60.00㎡,/
整租·复地运河公馆 3室1厅 南,通州-武夷花园-复地运河公馆,10000 元/月,122.00㎡,/
整租·宏仁家园 2室1厅 南/北,通州-马驹桥-宏仁家园,4600 元/月,88.70㎡,/
整租·万科四季花城 3室1厅 南/北,顺义-顺义城-万科四季花城,8000 元/月,131.00㎡,/
整租·鑫源国际 4房间 西南,丰台-成寿寺-鑫源国际,12500 元/月,164.00㎡,/
整租·郁花园二里 2室1厅 南/北,大兴-高米店-郁花园二里,5300 元/月,107.12㎡,/
整租·安华里社区 2室1厅 南/北,朝阳-安贞-安华里社区,8200 元/月,59.61㎡,/
整租·望京新城 1室1厅 东南,朝阳-望京-望京新城,7500 元/月,72.85㎡,/
整租·巴克摩界 1室0厅 北,通州-果园-巴克摩界,3500 元/月,52.18㎡,/
整租·金澳国际 2室1厅 东南,海淀-马甸-金澳国际,16500 元/月,113.30㎡,/
整租·康泽园 2室1厅 南/北,丰台-赵公口-康泽园,5300 元/月,66.85㎡,/
整租·芍药居14号院 2室1厅 南,精选,8290 元/月,朝阳-芍药居-芍药居14号院,/
整租·中滩村路16号院 3室1厅 南,精选,5680 元/月,昌平-天通苑-中滩村路16号院,/
整租·模式口南里 2室1厅 南/北,石景山-苹果园-模式口南里,4500 元/月,62.00㎡,/
整租·中天国际 1室1厅 北,精选,6830 元/月,朝阳-南沙滩-中天国际,/
整租·美立方 4房间 东北,朝阳-北苑-美立方,8100 元/月,57.00㎡,/
整租·复兴路乙59号 1室1厅 东/西,海淀-万寿路-复兴路乙59号,5500 元/月,40.00㎡,/
整租·万科天地 3室1厅 复式 南,精选,4600 元/月,大兴-义和庄-万科天地,/
整租·嘉铭桐城C区 4室2厅 西北,朝阳-亚运村小营-嘉铭桐城C区,22000 元/月,149.00㎡,/
整租·顶秀金石家园 2室1厅 南/北,丰台-宋家庄-顶秀金石家园,7100 元/月,80.48㎡,/
整租·北航家属院 3室2厅 南/西北,海淀-知春路-北航家属院,13800 元/月,88.68㎡,/
整租·西三环北路23号院 2室1厅 南/北,海淀-厂洼-西三环北路23号院,8000 元/月,56.40㎡,/
整租·樱花园 1室1厅 西北,朝阳-惠新西街-樱花园,7800 元/月,56.25㎡,/
整租·下斜街 2室1厅 南/北,西城-长椿街-下斜街,8500 元/月,51.00㎡,/
整租·隆远阁 1室1厅 南,精选,7590 元/月,朝阳-芍药居-隆远阁,/
整租·古城路小区 2室1厅 东南,精选,4790 元/月,石景山-古城-古城路小区,/
整租·大慧寺12号院 2室1厅 西南,海淀-白石桥-大慧寺12号院,9000 元/月,81.00㎡,/
整租·大柳树3号院 1室1厅 东,海淀-白石桥-大柳树3号院,6200 元/月,36.56㎡,/
整租·国家气象局 2室1厅 南/北,海淀-白石桥-国家气象局,9300 元/月,58.22㎡,/
整租·富海中心 2室1厅 西北,海淀-白石桥-富海中心,12800 元/月,116.77㎡,/
整租·中关村南大街40号 2室1厅 东北,海淀-白石桥-中关村南大街40号,9500 元/月,69.00㎡,/
整租·中关村南大街40号 3室1厅 西,海淀-白石桥-中关村南大街40号,10500 元/月,79.60㎡,/
整租·枣园小区 2室1厅 南,精选,4760 元/月,大兴-枣园-枣园小区,/
整租·中关村南大街34号 4室1厅 东南,海淀-白石桥-中关村南大街34号,25000 元/月,173.80㎡,/
整租·大柳树13号院 2室1厅 南/北,海淀-白石桥-大柳树13号院,7500 元/月,69.40㎡,/
整租·中国银行宿舍 3室1厅 南/北,海淀-白石桥-中国银行宿舍,13000 元/月,113.20㎡,/
整租·霄云路8号 4室3厅 南/西/北,朝阳-燕莎-霄云路8号,100000 元/月,449.82㎡,/
整租·国际港 2室1厅 西南,朝阳-燕莎-国际港,10000 元/月,118.00㎡,/
整租·亮马名居 3室2厅 南/北,朝阳-燕莎-亮马名居,21000 元/月,165.00㎡,/
整租·四季世家公寓 2室2厅 南,朝阳-燕莎-四季世家公寓,45000 元/月,225.67㎡,/
整租·亮马名居 1室1厅 东,朝阳-燕莎-亮马名居,12800 元/月,90.00㎡,/
整租·交大静园 2室1厅 南,精选,8360 元/月,海淀-西直门-交大静园,/
整租·华龙美树 1室1厅 南,朝阳-管庄-华龙美树,5700 元/月,60.28㎡,/
整租·管庄东里 3室1厅 南/北,朝阳-管庄-管庄东里,5500 元/月,99.90㎡,/
整租·京通苑 1室1厅 南,朝阳-管庄-京通苑,4600 元/月,65.00㎡,/
整租·华龙美树 1室0厅 北,朝阳-管庄-华龙美树,3600 元/月,35.00㎡,/
整租·金福家园 1室1厅 南,朝阳-定福庄-金福家园,4600 元/月,63.00㎡,/
整租·财智公馆 1室1厅 东,精选,6590 元/月,海淀-紫竹桥-财智公馆,/
整租·美然动力A3区 1室0厅 南,朝阳-定福庄-美然动力A3区,4500 元/月,53.14㎡,/
整租·建国门南大街 2室1厅 北,精选,9330 元/月,东城-建国门外-建国门南大街,/
整租·鲁班大厦 3室1厅 东南/南,朝阳-定福庄-鲁班大厦,13500 元/月,209.00㎡,/
整租·泰福苑D3区 3室1厅 南/北,朝阳-定福庄-泰福苑D3区,6500 元/月,85.00㎡,/
整租·东领鉴筑 3房间 南/北,朝阳-定福庄-东领鉴筑,6900 元/月,160.43㎡,/
整租·福盈家园 1室1厅 南,朝阳-定福庄-福盈家园,5400 元/月,52.00㎡,/
整租·美然动力A1区 2室1厅 南,朝阳-定福庄-美然动力A1区,6300 元/月,75.80㎡,/
整租·大慧寺12号院 2室1厅 西南,海淀-白石桥-大慧寺12号院,9000 元/月,81.00㎡,/
整租·康营家园四期A区 2室2厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·大柳树3号院 1室1厅 东,海淀-白石桥-大柳树3号院,6200 元/月,36.56㎡,/
整租·旭辉E天地 2房间 西北,精选,3230 元/月,房山-良乡-旭辉E天地,/
整租·国家气象局 2室1厅 南/北,海淀-白石桥-国家气象局,9300 元/月,58.22㎡,/
整租·富海中心 2室1厅 西北,海淀-白石桥-富海中心,12800 元/月,116.77㎡,/
整租·中关村南大街40号 2室1厅 东北,海淀-白石桥-中关村南大街40号,9500 元/月,69.00㎡,/
整租·中关村南大街40号 3室1厅 西,海淀-白石桥-中关村南大街40号,10500 元/月,79.60㎡,/
整租·中关村南大街34号 4室1厅 东南,海淀-白石桥-中关村南大街34号,25000 元/月,173.80㎡,/
整租·水磨厂宿舍 2室1厅 南,精选,6760 元/月,朝阳-百子湾-水磨厂宿舍,/
整租·大山子南里 2室1厅 南,精选,8290 元/月,朝阳-酒仙桥-大山子南里,/
整租·大柳树13号院 2室1厅 南/北,海淀-白石桥-大柳树13号院,7500 元/月,69.40㎡,/
整租·中国银行宿舍 3室1厅 南/北,海淀-白石桥-中国银行宿舍,13000 元/月,113.20㎡,/
整租·霄云路8号 4室3厅 南/西/北,朝阳-燕莎-霄云路8号,100000 元/月,449.82㎡,/
整租·国际港 2室1厅 西南,朝阳-燕莎-国际港,10000 元/月,118.00㎡,/
整租·亮马名居 3室2厅 南/北,朝阳-燕莎-亮马名居,21000 元/月,165.00㎡,/
整租·四季世家公寓 2室2厅 南,朝阳-燕莎-四季世家公寓,45000 元/月,225.67㎡,/
整租·炫彩嘉轩 2室1厅 南/西,精选,9200 元/月,朝阳-望京-炫彩嘉轩,/
整租·亮马名居 1室1厅 东,朝阳-燕莎-亮马名居,12800 元/月,90.00㎡,/
整租·华龙美树 1室1厅 南,朝阳-管庄-华龙美树,5700 元/月,60.28㎡,/
整租·宜品上层 2房间 西南,精选,7290 元/月,海淀-上地-宜品上层,/
整租·管庄东里 3室1厅 南/北,朝阳-管庄-管庄东里,5500 元/月,99.90㎡,/
整租·裕和嘉园 1室1厅 南,精选,6590 元/月,海淀-马连洼-裕和嘉园,/
整租·京通苑 1室1厅 南,朝阳-管庄-京通苑,4600 元/月,65.00㎡,/
整租·华龙美树 1室0厅 北,朝阳-管庄-华龙美树,3600 元/月,35.00㎡,/
整租·力源里 1室1厅 北,精选,7290 元/月,朝阳-四惠-力源里,/
整租·中海安德鲁斯庄园西区 5室2厅 跃层 南/北,朝阳-百子湾-中海安德鲁斯庄园西区,35000 元/月,362.10㎡,/
整租·金福家园 1室1厅 南,朝阳-定福庄-金福家园,4600 元/月,63.00㎡,/
整租·美然动力A3区 1室0厅 南,朝阳-定福庄-美然动力A3区,4500 元/月,53.14㎡,/
整租·鲁班大厦 3室1厅 东南/南,朝阳-定福庄-鲁班大厦,13500 元/月,209.00㎡,/
整租·蜂鸟家园 1室1厅 南,精选,8260 元/月,海淀-万柳-蜂鸟家园,/
整租·东亚上北中心 2房间 南,精选,6990 元/月,昌平-回龙观-东亚上北中心,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·金融街金悦府 2室1厅 东,精选,5290 元/月,大兴-黄村火车站-金融街金悦府,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·枣营南里 2室1厅 南,精选,8890 元/月,朝阳-农展馆-枣营南里,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·天露园一区 2室1厅 南,精选,7190 元/月,昌平-回龙观-天露园一区,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·中环南路3号院 2室1厅 东南,精选,7990 元/月,朝阳-望京-中环南路3号院,/
整租·伯宁花园 1室1厅 东,精选,11790 元/月,朝阳-农展馆-伯宁花园,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·惠新北里1号院 1室1厅 南,精选,6590 元/月,朝阳-惠新西街-惠新北里1号院,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·月亮城堡 1室1厅 东,通州-武夷花园-月亮城堡,3300 元/月,58.00㎡,/
整租·长阳国际城一区 3室1厅 南/北,房山-长阳-长阳国际城一区,4600 元/月,89.00㎡,/
整租·绿地中央广场 1室1厅 LOFT 南,精选,4580 元/月,通州-北关-绿地中央广场,/
整租·融泽嘉园中路1号院 2室1厅 南,精选,7360 元/月,昌平-回龙观-融泽嘉园中路1号院,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9800 元/月,77.67㎡,/
整租·康营家园四期A区 2室2厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·旭辉E天地 2房间 西北,精选,3230 元/月,房山-良乡-旭辉E天地,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9500 元/月,94.00㎡,/
整租·水磨厂宿舍 2室1厅 南,精选,6760 元/月,朝阳-百子湾-水磨厂宿舍,/
整租·大山子南里 2室1厅 南,精选,8290 元/月,朝阳-酒仙桥-大山子南里,/
整租·晨月园 1室1厅 北,海淀-世纪城-晨月园,6500 元/月,61.00㎡,/
整租·炫彩嘉轩 2室1厅 南/西,精选,9200 元/月,朝阳-望京-炫彩嘉轩,/
整租·宜品上层 2房间 西南,精选,7290 元/月,海淀-上地-宜品上层,/
整租·远大园四区 2室1厅 南/西南,海淀-世纪城-远大园四区,13500 元/月,91.52㎡,/
整租·翠叠园 3室2厅 南/北,海淀-世纪城-翠叠园,19500 元/月,157.00㎡,/
整租·裕和嘉园 1室1厅 南,精选,6590 元/月,海淀-马连洼-裕和嘉园,/
整租·力源里 1室1厅 北,精选,7290 元/月,朝阳-四惠-力源里,/
整租·瑞平家园 2室1厅 南/北,精选,5800 元/月,朝阳-中央别墅区-瑞平家园,/
整租·宏盛家园 2室1厅 南,精选,5360 元/月,大兴-西红门-宏盛家园,/
整租·世纪东方城 1室1厅 北,精选,7260 元/月,朝阳-欢乐谷-世纪东方城,/
整租·远大园四区 2室1厅 南,海淀-世纪城-远大园四区,8500 元/月,85.81㎡,/
整租·学知园 3室1厅 西南,海淀-学院路-学知园,9500 元/月,105.00㎡,/
整租·城华园 1室1厅 南,海淀-学院路-城华园,6800 元/月,62.15㎡,/
整租·清枫华景园 1室1厅 南,海淀-学院路-清枫华景园,6500 元/月,52.37㎡,/
整租·宜品上层 2房间 南,精选,7390 元/月,海淀-上地-宜品上层,/
整租·丰侨公寓 2室2厅 东,精选,30000 元/月,西城-金融街-丰侨公寓,/
整租·望京西园三区 2室1厅 东南,精选,10990 元/月,朝阳-望京-望京西园三区,/
整租·富润家园 2室2厅 西南,海淀-学院路-富润家园,11000 元/月,104.00㎡,/
整租·万泉新新家园 1室1厅 东,海淀-万柳-万泉新新家园,7800 元/月,58.00㎡,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 3室2厅 南/北,海淀-万柳-碧水云天,32000 元/月,167.38㎡,/
整租·康桥水郡 1室0厅 西,海淀-万柳-康桥水郡,7500 元/月,49.00㎡,/
整租·中海安德鲁斯庄园西区 5室2厅 跃层 南/北,朝阳-百子湾-中海安德鲁斯庄园西区,35000 元/月,362.10㎡,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·康营家园四期A区 2室2厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·旭辉E天地 2房间 西北,精选,3230 元/月,房山-良乡-旭辉E天地,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·水磨厂宿舍 2室1厅 南,精选,6760 元/月,朝阳-百子湾-水磨厂宿舍,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·大山子南里 2室1厅 南,精选,8290 元/月,朝阳-酒仙桥-大山子南里,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·炫彩嘉轩 2室1厅 南/西,精选,9200 元/月,朝阳-望京-炫彩嘉轩,/
整租·宜品上层 2房间 西南,精选,7290 元/月,海淀-上地-宜品上层,/
整租·裕和嘉园 1室1厅 南,精选,6590 元/月,海淀-马连洼-裕和嘉园,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·力源里 1室1厅 北,精选,7290 元/月,朝阳-四惠-力源里,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·瑞平家园 2室1厅 南/北,精选,5800 元/月,朝阳-中央别墅区-瑞平家园,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·月亮城堡 1室1厅 东,通州-武夷花园-月亮城堡,3300 元/月,58.00㎡,/
整租·长阳国际城一区 3室1厅 南/北,房山-长阳-长阳国际城一区,4600 元/月,89.00㎡,/
整租·中海安德鲁斯庄园西区 5室2厅 跃层 南/北,朝阳-百子湾-中海安德鲁斯庄园西区,35000 元/月,362.10㎡,/
整租·大慧寺12号院 2室1厅 西南,海淀-白石桥-大慧寺12号院,9000 元/月,81.00㎡,/
整租·大柳树3号院 1室1厅 东,海淀-白石桥-大柳树3号院,6200 元/月,36.56㎡,/
整租·蜂鸟家园 1室1厅 南,精选,8260 元/月,海淀-万柳-蜂鸟家园,/
整租·东亚上北中心 2房间 南,精选,6990 元/月,昌平-回龙观-东亚上北中心,/
整租·国家气象局 2室1厅 南/北,海淀-白石桥-国家气象局,9300 元/月,58.22㎡,/
整租·金融街金悦府 2室1厅 东,精选,5290 元/月,大兴-黄村火车站-金融街金悦府,/
整租·枣营南里 2室1厅 南,精选,8890 元/月,朝阳-农展馆-枣营南里,/
整租·富海中心 2室1厅 西北,海淀-白石桥-富海中心,12800 元/月,116.77㎡,/
整租·中关村南大街40号 2室1厅 东北,海淀-白石桥-中关村南大街40号,9500 元/月,69.00㎡,/
整租·中关村南大街40号 3室1厅 西,海淀-白石桥-中关村南大街40号,10500 元/月,79.60㎡,/
整租·中关村南大街34号 4室1厅 东南,海淀-白石桥-中关村南大街34号,25000 元/月,173.80㎡,/
整租·大柳树13号院 2室1厅 南/北,海淀-白石桥-大柳树13号院,7500 元/月,69.40㎡,/
整租·中国银行宿舍 3室1厅 南/北,海淀-白石桥-中国银行宿舍,13000 元/月,113.20㎡,/
整租·霄云路8号 4室3厅 南/西/北,朝阳-燕莎-霄云路8号,100000 元/月,449.82㎡,/
整租·国际港 2室1厅 西南,朝阳-燕莎-国际港,10000 元/月,118.00㎡,/
整租·亮马名居 3室2厅 南/北,朝阳-燕莎-亮马名居,21000 元/月,165.00㎡,/
整租·天露园一区 2室1厅 南,精选,7190 元/月,昌平-回龙观-天露园一区,/
整租·中环南路3号院 2室1厅 东南,精选,7990 元/月,朝阳-望京-中环南路3号院,/
整租·四季世家公寓 2室2厅 南,朝阳-燕莎-四季世家公寓,45000 元/月,225.67㎡,/
整租·亮马名居 1室1厅 东,朝阳-燕莎-亮马名居,12800 元/月,90.00㎡,/
整租·伯宁花园 1室1厅 东,精选,11790 元/月,朝阳-农展馆-伯宁花园,/
整租·华龙美树 1室1厅 南,朝阳-管庄-华龙美树,5700 元/月,60.28㎡,/
整租·惠新北里1号院 1室1厅 南,精选,6590 元/月,朝阳-惠新西街-惠新北里1号院,/
整租·绿地中央广场 1室1厅 LOFT 南,精选,4580 元/月,通州-北关-绿地中央广场,/
整租·管庄东里 3室1厅 南/北,朝阳-管庄-管庄东里,5500 元/月,99.90㎡,/
整租·京通苑 1室1厅 南,朝阳-管庄-京通苑,4600 元/月,65.00㎡,/
整租·华龙美树 1室0厅 北,朝阳-管庄-华龙美树,3600 元/月,35.00㎡,/
整租·金福家园 1室1厅 南,朝阳-定福庄-金福家园,4600 元/月,63.00㎡,/
整租·美然动力A3区 1室0厅 南,朝阳-定福庄-美然动力A3区,4500 元/月,53.14㎡,/
整租·融泽嘉园中路1号院 2室1厅 南,精选,7360 元/月,昌平-回龙观-融泽嘉园中路1号院,/
整租·炫彩嘉轩 2室1厅 南/西,精选,9200 元/月,朝阳-望京-炫彩嘉轩,/
整租·富顿 1室0厅 东/南,朝阳-劲松-富顿,7800 元/月,68.57㎡,/
整租·怡秀园小区 3室1厅 西北,海淀-万柳-怡秀园小区,13000 元/月,100.44㎡,/
整租·宜品上层 2房间 西南,精选,7290 元/月,海淀-上地-宜品上层,/
整租·裕和嘉园 1室1厅 南,精选,6590 元/月,海淀-马连洼-裕和嘉园,/
整租·星河湾朗园 5室2厅 跃层 西南/北,朝阳-朝青-星河湾朗园,150000 元/月,745.00㎡,/
整租·复兴门北大街 2室1厅 西南,西城-月坛-复兴门北大街,9500 元/月,60.00㎡,/
整租·力源里 1室1厅 北,精选,7290 元/月,朝阳-四惠-力源里,/
整租·瑞平家园 2室1厅 南/北,精选,5800 元/月,朝阳-中央别墅区-瑞平家园,/
整租·复地运河公馆 3室1厅 南,通州-武夷花园-复地运河公馆,10000 元/月,122.00㎡,/
整租·宏仁家园 2室1厅 南/北,通州-马驹桥-宏仁家园,4600 元/月,88.70㎡,/
整租·万科四季花城 3室1厅 南/北,顺义-顺义城-万科四季花城,8000 元/月,131.00㎡,/
整租·鑫源国际 4房间 西南,丰台-成寿寺-鑫源国际,12500 元/月,164.00㎡,/
整租·郁花园二里 2室1厅 南/北,大兴-高米店-郁花园二里,5300 元/月,107.12㎡,/
整租·安华里社区 2室1厅 南/北,朝阳-安贞-安华里社区,8200 元/月,59.61㎡,/
整租·望京新城 1室1厅 东南,朝阳-望京-望京新城,7500 元/月,72.85㎡,/
整租·巴克摩界 1室0厅 北,通州-果园-巴克摩界,3500 元/月,52.18㎡,/
整租·金澳国际 2室1厅 东南,海淀-马甸-金澳国际,16500 元/月,113.30㎡,/
整租·宏盛家园 2室1厅 南,精选,5360 元/月,大兴-西红门-宏盛家园,/
整租·世纪东方城 1室1厅 北,精选,7260 元/月,朝阳-欢乐谷-世纪东方城,/
整租·康泽园 2室1厅 南/北,丰台-赵公口-康泽园,5300 元/月,66.85㎡,/
整租·宜品上层 2房间 南,精选,7390 元/月,海淀-上地-宜品上层,/
整租·模式口南里 2室1厅 南/北,石景山-苹果园-模式口南里,4500 元/月,62.00㎡,/
整租·美立方 4房间 东北,朝阳-北苑-美立方,8100 元/月,57.00㎡,/
整租·复兴路乙59号 1室1厅 东/西,海淀-万寿路-复兴路乙59号,5500 元/月,40.00㎡,/
整租·嘉铭桐城C区 4室2厅 西北,朝阳-亚运村小营-嘉铭桐城C区,22000 元/月,149.00㎡,/
整租·丰侨公寓 2室2厅 东,精选,30000 元/月,西城-金融街-丰侨公寓,/
整租·望京西园三区 2室1厅 东南,精选,10990 元/月,朝阳-望京-望京西园三区,/
整租·顶秀金石家园 2室1厅 南/北,丰台-宋家庄-顶秀金石家园,7100 元/月,80.48㎡,/
整租·城华园 1室1厅 北,精选,7060 元/月,海淀-学院路-城华园,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9800 元/月,77.67㎡,/
整租·三源里街 3室1厅 东南,精选,8490 元/月,朝阳-亮马桥-三源里街,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9500 元/月,94.00㎡,/
整租·晨月园 1室1厅 北,海淀-世纪城-晨月园,6500 元/月,61.00㎡,/
整租·三源里街 1室1厅 南,精选,7360 元/月,朝阳-亮马桥-三源里街,/
整租·远大园四区 2室1厅 南/西南,海淀-世纪城-远大园四区,13500 元/月,91.52㎡,/
整租·翠叠园 3室2厅 南/北,海淀-世纪城-翠叠园,19500 元/月,157.00㎡,/
整租·万科天地 3室1厅 复式 西,精选,4500 元/月,大兴-义和庄-万科天地,/
整租·远大园四区 2室1厅 南,海淀-世纪城-远大园四区,8500 元/月,85.81㎡,/
整租·学知园 3室1厅 西南,海淀-学院路-学知园,9500 元/月,105.00㎡,/
整租·万科天地 3室1厅 东,精选,4500 元/月,大兴-义和庄-万科天地,/
整租·城华园 1室1厅 南,海淀-学院路-城华园,6800 元/月,62.15㎡,/
整租·清枫华景园 1室1厅 南,海淀-学院路-清枫华景园,6500 元/月,52.37㎡,/
整租·三里屯南 2室1厅 南,精选,7300 元/月,朝阳-三里屯-三里屯南,/
整租·富润家园 2室2厅 西南,海淀-学院路-富润家园,11000 元/月,104.00㎡,/
整租·万泉新新家园 1室1厅 东,海淀-万柳-万泉新新家园,7800 元/月,58.00㎡,/
整租·逸盛阁 2房间 北,精选,16500 元/月,朝阳-三里屯-逸盛阁,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 3室2厅 南/北,海淀-万柳-碧水云天,32000 元/月,167.38㎡,/
整租·康桥水郡 1室0厅 西,海淀-万柳-康桥水郡,7500 元/月,49.00㎡,/
整租·白家庄西里 2室1厅 东,精选,8530 元/月,朝阳-三里屯-白家庄西里,/
整租·天恒乐活城 1室1厅 南,精选,2960 元/月,房山-阎村-天恒乐活城,/
整租·天恒乐活城 2室1厅 南,精选,3990 元/月,房山-阎村-天恒乐活城,/
整租·华樾国际 3室1厅 南/北,朝阳-朝阳其它-华樾国际,7500 元/月,89.66㎡,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 2室2厅 东,海淀-万柳-碧水云天,17000 元/月,100.00㎡,/
